Sitecode,SiteName,Latitude,Longitude,LatLongDatum,Elevation,VerticalDatum,LocalX,LocalY,LocalProjection,PosAccuracy
WELL017,WELL017,39.864065947,-75.78538533,NAD83,104.825818,Unknown,,,,
WELL018,WELL018,39.862238436,-75.78343803,NAD83,103.090056,Unknown,,,,
WELL019,WELL019,39.865818798,-75.78507559,NAD83,106.561134,Unknown,,,,
WELL021,WELL021,39.87772212,-75.79115524,NAD83,117.719238,Unknown,,,,
WELL022,WELL022,39.87762999,-75.79078348,NAD83,117.519498,Unknown,,,,
WELL023,WELL023,39.877550088,-75.79056809,NAD83,117.331612,Unknown,,,,
WELL024,WELL024,39.877637185,-75.79013285,NAD83,117.921356,Unknown,,,,
WELL031,WELL031,39.873516377,-75.78022613,NAD83,118.425052,Unknown,,,,
WELL032,WELL032,39.873236884,-75.77992529,NAD83,118.51759,Unknown,,,,
WELL041,WELL041,39.865701057,-75.78529875,NAD83,105.560401,Unknown,,,,
WELL042,WELL042,39.863167814,-75.78213425,NAD83,117.03531,Unknown,,,,
WELL043,WELL043,39.86232375,-75.7834659,NAD83,102.939529,Unknown,,,,
WELL044,WELL044,39.878203696,-75.78278681,NAD83,139.264511,Unknown,,,,
WLYATSPENCER,Willy trib at Spencer Road,39.86217,-75.77877,WGS84,,,,,,
WLYMOUTH,Willy trib at White Clay Creek,39.861501667,-75.78305,Unknown,,,,,,
WSS,Waltons Spring Seep nr mouth,39.87411,-75.77798,WGS84,122.224,Unknown,,,,
